Line identifier,Energy level,Intensity,Chi-Rho-Tau absorption,K-factor
-,eV,counts,-,-
Th-La1,1.29683e+04,8.38214e+02,0.00000e+00,2.22231e+00
Th-La2,1.28095e+04,8.38214e+01,0.00000e+00,2.22231e+00
Th-Lb1,1.62024e+04,3.18521e+02,0.00000e+00,3.14058e+00
Th-Lb2,1.56239e+04,1.17350e+02,0.00000e+00,2.22231e+00
Th-Ma1,2.99680e+03,0.00000e+00,0.00000e+00,3.33091e-01
Th-Mb,3.14640e+03,0.00000e+00,0.00000e+00,3.54678e-01
Pa-La1,1.32913e+04,8.01426e+02,0.00000e+00,2.35378e+00
Pa-La2,1.31219e+04,8.01426e+01,0.00000e+00,2.35378e+00
Pa-Lb1,1.67025e+04,3.04542e+02,0.00000e+00,3.36904e+00
Pa-Lb2,1.60249e+04,1.12200e+02,0.00000e+00,2.35378e+00
Pa-Ma1,3.08230e+03,2.45829e+03,0.00000e+00,3.23882e-01
Pa-Mb,3.24000e+03,1.40122e+03,0.00000e+00,3.45633e-01
U-La1,1.36146e+04,8.87936e+02,0.00000e+00,2.54731e+00
U-La2,1.34387e+04,9.76730e+01,0.00000e+00,2.54731e+00
U-Lb1,1.72200e+04,2.35303e+02,0.00000e+00,3.69646e+00
U-Lb2,1.64286e+04,1.50949e+02,0.00000e+00,2.54731e+00
U-Ma1,3.17080e+03,0.00000e+00,0.00000e+00,3.25645e-01
U-Mb,3.33630e+03,0.00000e+00,0.00000e+00,3.47718e-01
Np-La1,1.39430e+04,5.68243e+02,0.00000e+00,2.74601e+00
Np-La2,1.37580e+04,5.68243e+01,0.00000e+00,2.74601e+00
Np-Lb1,1.77480e+04,2.15933e+02,0.00000e+00,4.04139e+00
Np-Lb2,1.68380e+04,7.95541e+01,0.00000e+00,2.74601e+00
Np-Ma1,3.25900e+03,3.27366e+03,0.00000e+00,3.17236e-01
Np-Mb,3.43300e+03,1.86598e+03,0.00000e+00,3.39203e-01
Pu-La1,1.42760e+04,3.03126e+02,0.00000e+00,2.93668e+00
Pu-La2,1.40820e+04,3.03126e+01,0.00000e+00,2.93668e+00
Pu-Lb1,1.82900e+04,6.06251e+01,0.00000e+00,4.38612e+00
Pu-Lb2,1.72540e+04,4.24376e+01,0.00000e+00,2.93668e+00
Pu-Ma1,3.34900e+03,1.38297e+03,0.00000e+00,3.18950e-01
Pu-Mb,3.53100e+03,7.88293e+02,0.00000e+00,3.41485e-01
Am-La1,1.46140e+04,6.36649e+02,0.00000e+00,3.22411e+00
Am-La2,1.44100e+04,6.36649e+01,0.00000e+00,3.22411e+00
Am-Lb1,1.88470e+04,2.41927e+02,0.00000e+00,4.89040e+00
Am-Lb2,1.76760e+04,8.91309e+01,0.00000e+00,3.22411e+00
Am-Ma1,3.44600e+03,0.00000e+00,0.00000e+00,3.10167e-01
Am-Mb,3.63500e+03,0.00000e+00,0.00000e+00,3.32605e-01
Cm-La1,1.49600e+04,6.38815e+02,0.00000e+00,3.51783e+00
Cm-La2,1.47380e+04,6.38815e+01,0.00000e+00,3.51783e+00
Cm-Lb1,1.94180e+04,2.42750e+02,0.00000e+00,5.42423e+00
Cm-Lb2,1.81100e+04,8.94342e+01,0.00000e+00,3.51783e+00
Cm-Ma1,3.53500e+03,1.03585e+03,0.00000e+00,3.07855e-01
Cm-Mb,3.74200e+03,5.90435e+02,0.00000e+00,3.31479e-01
