Line identifier,Energy level,Intensity,Chi-Rho-Tau absorption,K-factor
-,eV,counts,-,-
Kr-Ka1,1.26507e+04,2.11783e+02,0.00000e+00,1.05287e+00
Kr-Ka2,1.25984e+04,1.05891e+02,0.00000e+00,1.05287e+00
Kr-Kb1,1.41118e+04,3.28263e+01,0.00000e+00,1.05287e+00
Kr-La1,1.58600e+03,2.55167e+01,0.00000e+00,5.99310e-01
Kr-La2,1.58600e+03,2.55167e+00,0.00000e+00,5.99310e-01
Kr-Lb1,1.63830e+03,9.33910e+00,0.00000e+00,6.22023e-01
Rb-Ka1,1.33953e+04,0.00000e+00,0.00000e+00,1.20424e+00
Rb-Ka2,1.33358e+04,0.00000e+00,0.00000e+00,1.20424e+00
Rb-Kb1,1.49612e+04,0.00000e+00,0.00000e+00,1.20424e+00
Rb-La1,1.69410e+03,2.05848e+01,0.00000e+00,5.80512e-01
Rb-La2,1.69260e+03,2.05848e+00,0.00000e+00,5.80512e-01
Rb-Lb1,1.75210e+03,7.78106e+00,0.00000e+00,6.03815e-01
Sr-Ka1,1.41650e+04,2.35049e+02,0.00000e+00,1.39900e+00
Sr-Ka2,1.40978e+04,1.17524e+02,0.00000e+00,1.39900e+00
Sr-Kb1,1.58355e+04,3.76078e+01,0.00000e+00,1.39900e+00
Sr-La1,1.80650e+03,0.00000e+00,0.00000e+00,5.69435e-01
Sr-La2,1.80460e+03,0.00000e+00,0.00000e+00,5.69435e-01
Sr-Lb1,1.87180e+03,0.00000e+00,0.00000e+00,5.93524e-01
Y-Ka1,1.49584e+04,2.88734e+02,0.00000e+00,1.62293e+00
Y-Ka2,1.48829e+04,1.44367e+02,0.00000e+00,1.62293e+00
Y-Kb1,1.67381e+04,4.70637e+01,0.00000e+00,1.62293e+00
Y-La1,1.92260e+03,2.36285e+01,0.00000e+00,5.57761e-01
Y-La2,1.92040e+03,2.36285e+00,0.00000e+00,5.57761e-01
Y-Lb1,1.99590e+03,1.18143e+01,0.00000e+00,5.82556e-01
Y-Mz1,1.34000e+02,8.27206e+00,0.00000e+00,1.02442e+00
Zr-Ka1,1.57753e+04,6.11452e+02,0.00000e+00,1.91568e+00
Zr-Ka2,1.56909e+04,3.05726e+02,0.00000e+00,1.91568e+00
Zr-Kb1,1.76671e+04,9.78323e+01,0.00000e+00,1.91568e+00
Zr-La1,2.04230e+03,0.00000e+00,0.00000e+00,5.45923e-01
Zr-La2,2.03990e+03,0.00000e+00,0.00000e+00,5.45923e-01
Zr-Lb1,2.12430e+03,0.00000e+00,0.00000e+00,5.71390e-01
Zr-Mz1,1.53700e+02,0.00000e+00,0.00000e+00,8.61843e-01
Nb-Ka1,1.66151e+04,1.50964e+02,0.00000e+00,2.25478e+00
Nb-Ka2,1.65209e+04,7.54821e+01,0.00000e+00,2.25478e+00
Nb-Kb1,1.86226e+04,2.26446e+01,0.00000e+00,2.25478e+00
Nb-La1,2.16590e+03,5.75032e-01,0.00000e+00,5.30983e-01
Nb-La2,2.16310e+03,5.75032e-02,0.00000e+00,5.30983e-01
Nb-Lb1,2.25730e+03,2.42664e-01,0.00000e+00,5.56977e-01
Nb-Mz1,1.73500e+02,0.00000e+00,0.00000e+00,7.24052e-01
Mo-Ka1,1.74793e+04,1.69176e+02,0.00000e+00,2.69449e+00
Mo-Ka2,1.73744e+04,8.45878e+01,0.00000e+00,2.69449e+00
Mo-Kb1,1.96072e+04,2.03011e+01,0.00000e+00,2.69449e+00
Mo-La1,2.29320e+03,0.00000e+00,0.00000e+00,5.25675e-01
Mo-La2,2.28990e+03,0.00000e+00,0.00000e+00,5.25675e-01
Mo-Lb1,2.39480e+03,0.00000e+00,0.00000e+00,5.52708e-01
Mo-Mz1,1.95500e+02,0.00000e+00,0.00000e+00,6.16939e-01
Tc-Ka1,1.83671e+04,2.01744e+02,0.00000e+00,3.22822e+00
Tc-Ka2,1.82508e+04,1.00872e+02,0.00000e+00,3.22822e+00
Tc-La1,2.42400e+03,0.00000e+00,0.00000e+00,5.16718e-01
Tc-La2,2.42050e+03,0.00000e+00,0.00000e+00,5.16718e-01
Tc-Lb1,2.53680e+03,0.00000e+00,0.00000e+00,5.44536e-01
Tc-Mz1,2.17500e+02,0.00000e+00,0.00000e+00,5.47504e-01
Ru-Ka1,1.92793e+04,2.02375e+02,0.00000e+00,3.88953e+00
Ru-Ka2,1.91503e+04,1.01188e+02,0.00000e+00,3.88953e+00
Ru-La1,2.55850e+03,0.00000e+00,0.00000e+00,5.13871e-01
Ru-La2,2.55430e+03,0.00000e+00,0.00000e+00,5.13871e-01
Ru-Lb1,2.68330e+03,0.00000e+00,0.00000e+00,5.42901e-01
Ru-Mz1,2.40500e+02,1.87371e+01,0.00000e+00,5.05635e-01
Rh-Ka1,2.02161e+04,1.61092e+02,0.00000e+00,4.63368e+00
Rh-Ka2,2.00738e+04,8.05462e+01,0.00000e+00,4.63368e+00
Rh-La1,2.69680e+03,8.49199e+01,0.00000e+00,5.05700e-01
Rh-La2,2.69210e+03,8.49199e+00,0.00000e+00,5.05700e-01
Rh-Lb1,2.83440e+03,3.56663e+01,0.00000e+00,5.35561e-01
Rh-Mz1,2.63800e+02,0.00000e+00,0.00000e+00,4.67148e-01
Pd-La1,2.83860e+03,7.78292e+01,0.00000e+00,5.06174e-01
Pd-La2,2.83330e+03,7.78292e+00,0.00000e+00,5.06174e-01
Pd-Lb1,2.99030e+03,3.42448e+01,0.00000e+00,5.37481e-01
Pd-Mz1,2.88900e+02,0.00000e+00,0.00000e+00,4.44887e-01
Ag-La1,2.98440e+03,0.00000e+00,0.00000e+00,4.98260e-01
Ag-La2,2.97830e+03,0.00000e+00,0.00000e+00,4.98260e-01
Ag-Lb1,3.15090e+03,0.00000e+00,0.00000e+00,5.30439e-01
Ag-Lb2,3.34780e+03,0.00000e+00,0.00000e+00,4.98260e-01
Ag-Mz1,3.10200e+02,0.00000e+00,0.00000e+00,4.30077e-01
Cd-La1,3.13380e+03,0.00000e+00,0.00000e+00,5.05865e-01
Cd-La2,3.12700e+03,0.00000e+00,0.00000e+00,5.05865e-01
Cd-Lb1,3.31650e+03,0.00000e+00,0.00000e+00,5.39947e-01
Cd-Lb2,3.52820e+03,0.00000e+00,0.00000e+00,5.05865e-01
Cd-Mz1,3.43600e+02,0.00000e+00,0.00000e+00,4.25568e-01
In-La1,3.28700e+03,0.00000e+00,0.00000e+00,5.04319e-01
In-La2,3.27930e+03,0.00000e+00,0.00000e+00,5.04319e-01
In-Lb1,3.48720e+03,0.00000e+00,0.00000e+00,5.39780e-01
